field_name,observed_in,dtype_or_storage_type,semantic_role,unit,time_grain,allowed_transforms,missingness_rule,join_key_role,claim_use,verified_status
city,upstream/hotspot_membership_table.csv,label,city identifier,none,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,grouping and display,verified
state_group,upstream/hotspot_membership_table.csv,label,regime/time-state identifier,none,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,observation unit,verified
response,upstream/hotspot_membership_table.csv,label,decoupling response label,none,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,observation unit,verified
is_hotspot_cell,upstream/hotspot_membership_table.csv,boolean,structural hotspot target,none,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,classification target,verified
blh_mean,upstream/hotspot_membership_table.csv,float,ERA5 boundary-layer height mean,m,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,mixing-depth proxy,verified
shear_mean,upstream/hotspot_membership_table.csv,float,ERA5 low-level wind shear mean,m s-1 difference proxy,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,gradient source proxy,verified
gust_mean,upstream/hotspot_membership_table.csv,float,ERA5 gust mean,m s-1,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,intensity benchmark,verified
wind10_mean,upstream/hotspot_membership_table.csv,float,ERA5 10 m wind speed mean,m s-1,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,intensity benchmark,verified
wind100_mean,upstream/hotspot_membership_table.csv,float,ERA5 100 m wind speed mean,m s-1,city-state-response aggregate,read only; numeric coercion for measures,drop from metric-specific computation if non-finite,not joined in this script,intensity benchmark,verified
smii_z,derived_by_script,float,derived SMII,standardized,city-state-response aggregate,z-score/log1p/ratio/quantile gate,drop from metric-specific computation if non-finite,not joined in this script,bounded mechanism diagnostic,derived
smii_simple_z,derived_by_script,float,transparent simple SMII sensitivity,standardized,city-state-response aggregate,z-score/log1p/ratio/quantile gate,drop from metric-specific computation if non-finite,not joined in this script,sensitivity check,derived
smii_upper_state,derived_by_script,boolean,upper-tail SMII state gate,none,city-state-response aggregate,z-score/log1p/ratio/quantile gate,drop from metric-specific computation if non-finite,not joined in this script,state-space support summary,derived
